source_file,source_path,標案案號,標案名稱,機關代碼,機關名稱,單位名稱,機關地址,聯絡人,聯絡電話,傳真號碼,電子郵件信箱,預算金額,預算_hidden,公告日,截止投標,開標時間,開標地點,案件狀態,決標廠商,決標日期,決標金額
detail_112.html,F:\Drone_Tender_Reptile\pcc_results_selenium\detail_112.html,TSAA11406,松山機場無人機防制基座設施工程(第2標),3.15.6.2,交通部民用航空局臺北國際航空站,工務組,"105
				
				
				臺北市
				松山區
				敦化北路340之9號",蔡先生,"(02)
				
				
					87703485","(02)
				
				
					87703544",me3703@tsa.gov.tw,"5,990,895元",5990895,114/09/19,114/09/23 17:00,114/09/24 09:00,105臺北市松山區敦化北路340之9號,招標中,,,
detail_113.html,F:\Drone_Tender_Reptile\pcc_results_selenium\detail_113.html,LD-025016,114-115年度遙控無人機操作證印製(開口合約),3.15.6,交通部民用航空局,秘書室,"105
				
				
				臺北市
				松山區
				敦化北路340號",吳敏莉,"(02)
				
				
					23496173","(02)
				
				
					23496179",AI8245@mail.caa.gov.tw,"720,000元",720000,114/09/18,114/09/22 17:00,114/09/23 10:30,105臺北市松山區敦化北路340號,招標中,,,
detail_114.html,F:\Drone_Tender_Reptile\pcc_results_selenium\detail_114.html,LD-025016,114-115年度遙控無人機操作證印製(開口合約),3.15.6,交通部民用航空局,秘書室,"105
				
				
				臺北市
				松山區
				敦化北路340號",吳敏莉,"(02)
				
				
					23496173","(02)
				
				
					23496179",AI8245@mail.caa.gov.tw,"720,000元",720000,114/09/18,114/09/22 17:00,114/09/23 10:30,105臺北市松山區敦化北路340號,招標中,,,
detail_115.html,F:\Drone_Tender_Reptile\pcc_results_selenium\detail_115.html,114199B,國家科學及技術委員會新竹科學園區管理局補助本局114年無人機組採購案,3.76.45,苗栗縣政府,苗栗縣政府消防局,"360
				
				
				苗栗縣
				苗栗市
				嘉新里1鄰經國路4段201號",災害搶救科劉凱銘,"(037)
				
				
					558119
				
				
					#1215","(037)
				
				
					271208",247767@mlfd.gov.tw,"1,600,000元",1600000,114/09/17,114/09/22 17:00,114/09/23 14:00,360苗栗縣苗栗市嘉新里1鄰經國路4段201號苗栗縣政府消防局會議室,招標中,,,
detail_116.html,F:\Drone_Tender_Reptile\pcc_results_selenium\detail_116.html,114199B,國家科學及技術委員會新竹科學園區管理局補助本局114年無人機組採購案,3.76.45,苗栗縣政府,苗栗縣政府消防局,"360
				
				
				苗栗縣
				苗栗市
				嘉新里1鄰經國路4段201號",災害搶救科劉凱銘,"(037)
				
				
					558119
				
				
					#1215","(037)
				
				
					271208",247767@mlfd.gov.tw,"1,600,000元",1600000,114/09/17,114/09/22 17:00,114/09/23 14:00,360苗栗縣苗栗市嘉新里1鄰經國路4段201號苗栗縣政府消防局會議室,招標中,,,
detail_117.html,F:\Drone_Tender_Reptile\pcc_results_selenium\detail_117.html,114-02-137,縮尺高速無人機設計採購壹式,3.9.26,國立成功大學,總務處,"701
				
				
				臺南市
				東區
				大學路1號",何美誼,"(06)
				
				
					2757575
				
				
					#50575","(06)
				
				
					2766405",z10010047@ncku.edu.tw,"9,500,000元",9500000,114/09/16,114/10/02 10:00,114/10/02 14:00,701臺南市東區大學路1號光復校區雲平大樓西棟地下一樓開標室,招標中,,,
detail_118.html,F:\Drone_Tender_Reptile\pcc_results_selenium\detail_118.html,114-02-137,縮尺高速無人機設計採購壹式,3.9.26,國立成功大學,總務處,"701
				
				
				臺南市
				東區
				大學路1號",何美誼,"(06)
				
				
					2757575
				
				
					#50575","(06)
				
				
					2766405",z10010047@ncku.edu.tw,"9,500,000元",9500000,114/09/16,114/10/02 10:00,114/10/02 14:00,701臺南市東區大學路1號光復校區雲平大樓西棟地下一樓開標室,招標中,,,
detail_119.html,F:\Drone_Tender_Reptile\pcc_results_selenium\detail_119.html,114EG66600000000820,巨輪校區遙控無人機室內訓練場地整修工程,3.5.49.1,空軍航空技術學院,空軍航空技術學院,"820
				
				
				高雄市
				岡山區
				介壽西路198號",吳先生,"(07)
				
				
					6254141
				
				
					#978144","(07)
				
				
					6257270",purchase07@mail.mil.tw,"3,291,480元",3291480,114/09/12,114/09/22 17:00,114/09/23 10:00,820高雄市岡山區介壽西路198號,招標中,,,
detail_12.html,F:\Drone_Tender_Reptile\pcc_results_selenium\detail_12.html,FV14022P022,114年無人機採購案,A.5.11.2,陸軍專科學校,陸軍專科學校,"320
				
				
				桃園市
				中壢區
				中堅里3鄰龍東路750號",劉奕孝,"(03)
				
				
					4664600
				
				
					#345109","(03)
				
				
					4361609",h124016437@gmail.com,"3,053,000元",3053000,114/11/10,114/11/20 17:00,114/11/21 10:00,320桃園市中壢區中堅里3鄰龍東路750號,招標中,,,
detail_120.html,F:\Drone_Tender_Reptile\pcc_results_selenium\detail_120.html,114EG66600000000820,巨輪校區遙控無人機室內訓練場地整修工程,3.5.49.1,空軍航空技術學院,空軍航空技術學院,"820
				
				
				高雄市
				岡山區
				介壽西路198號",吳先生,"(07)
				
				
					6254141
				
				
					#978144","(07)
				
				
					6257270",purchase07@mail.mil.tw,"3,291,480元",3291480,114/09/12,114/09/22 17:00,114/09/23 10:00,820高雄市岡山區介壽西路198號,招標中,,,
detail_121.html,F:\Drone_Tender_Reptile\pcc_results_selenium\detail_121.html,114EG66600000000920,無人機訓練教室整修工程,3.5.49.1,空軍航空技術學院,空軍航空技術學院,"820
				
				
				高雄市
				岡山區
				介壽西路198號",吳先生,"(07)
				
				
					6254141
				
				
					#978144","(07)
				
				
					6257270",purchase07@mail.mil.tw,"4,971,321元",4971321,114/09/12,114/09/22 17:00,114/09/23 14:00,820高雄市岡山區介壽西路198號,招標中,,,
detail_122.html,F:\Drone_Tender_Reptile\pcc_results_selenium\detail_122.html,114EG66600000000920,無人機訓練教室整修工程,3.5.49.1,空軍航空技術學院,空軍航空技術學院,"820
				
				
				高雄市
				岡山區
				介壽西路198號",吳先生,"(07)
				
				
					6254141
				
				
					#978144","(07)
				
				
					6257270",purchase07@mail.mil.tw,"4,971,321元",4971321,114/09/12,114/09/22 17:00,114/09/23 14:00,820高雄市岡山區介壽西路198號,招標中,,,
detail_123.html,F:\Drone_Tender_Reptile\pcc_results_selenium\detail_123.html,114199B,國家科學及技術委員會新竹科學園區管理局補助本局114年無人機組採購案,3.76.45,苗栗縣政府,苗栗縣政府消防局,"360
				
				
				苗栗縣
				苗栗市
				嘉新里1鄰經國路4段201號",災害搶救科劉凱銘,"(037)
				
				
					558119
				
				
					#1215","(037)
				
				
					271208",247767@mlfd.gov.tw,"1,600,000元",1600000,114/09/05,114/09/15 17:00,114/09/16 14:00,360苗栗縣苗栗市嘉新里1鄰經國路4段201號苗栗縣政府消防局會議室,招標中,,,
detail_124.html,F:\Drone_Tender_Reptile\pcc_results_selenium\detail_124.html,114199B,國家科學及技術委員會新竹科學園區管理局補助本局114年無人機組採購案,3.76.45,苗栗縣政府,苗栗縣政府消防局,"360
				
				
				苗栗縣
				苗栗市
				嘉新里1鄰經國路4段201號",災害搶救科劉凱銘,"(037)
				
				
					558119
				
				
					#1215","(037)
				
				
					271208",247767@mlfd.gov.tw,"1,600,000元",1600000,114/09/05,114/09/15 17:00,114/09/16 14:00,360苗栗縣苗栗市嘉新里1鄰經國路4段201號苗栗縣政府消防局會議室,招標中,,,
detail_125.html,F:\Drone_Tender_Reptile\pcc_results_selenium\detail_125.html,AC114089,「推進動力系統測試台資料擷取與聯網裝置」及「固定翼無人機系統」各一套,3.92.39,國立虎尾科技大學,國立虎尾科技大學,"632
				
				
				雲林縣
				虎尾鎮
				文化路64號",康宜君（總務處事務組）,"(05)
				
				
					6315225","(05)
				
				
					6334929",chengd1149@nfu.edu.tw,"610,000元",610000,114/09/05,114/09/11 10:30,114/09/11 11:30,本校行政大樓四樓事務組開標室,招標中,,,
detail_126.html,F:\Drone_Tender_Reptile\pcc_results_selenium\detail_126.html,AC114089,「推進動力系統測試台資料擷取與聯網裝置」及「固定翼無人機系統」各一套,3.92.39,國立虎尾科技大學,國立虎尾科技大學,"632
				
				
				雲林縣
				虎尾鎮
				文化路64號",康宜君（總務處事務組）,"(05)
				
				
					6315225","(05)
				
				
					6334929",chengd1149@nfu.edu.tw,"610,000元",610000,114/09/05,114/09/11 10:30,114/09/11 11:30,本校行政大樓四樓事務組開標室,招標中,,,
detail_127.html,F:\Drone_Tender_Reptile\pcc_results_selenium\detail_127.html,114-02-128,複合式飛行無人機租賃壹式,3.9.26,國立成功大學,總務處,"701
				
				
				臺南市
				東區
				大學路1號",何美誼,"(06)
				
				
					2757575
				
				
					#50575","(06)
				
				
					2766405",z10010047@ncku.edu.tw,"1,200,000元",1200000,114/09/05,114/09/11 10:00,114/09/11 14:00,701臺南市東區大學路1號光復校區雲平大樓西棟地下一樓開標室,招標中,,,
detail_128.html,F:\Drone_Tender_Reptile\pcc_results_selenium\detail_128.html,114-02-128,複合式飛行無人機租賃壹式,3.9.26,國立成功大學,總務處,"701
				
				
				臺南市
				東區
				大學路1號",何美誼,"(06)
				
				
					2757575
				
				
					#50575","(06)
				
				
					2766405",z10010047@ncku.edu.tw,"1,200,000元",1200000,114/09/05,114/09/11 10:00,114/09/11 14:00,701臺南市東區大學路1號光復校區雲平大樓西棟地下一樓開標室,招標中,,,
detail_129.html,F:\Drone_Tender_Reptile\pcc_results_selenium\detail_129.html,2551400032,大甲溪發電廠多旋翼遙控無人機,3.13.31.70,台灣電力股份有限公司大甲溪發電廠,台灣電力股份有限公司大甲溪發電廠,"424
				
				
				臺中市
				和平區
				天輪里東關路2段89-1號",詹婉貞,"(04)
				
				
					25941574
				
				
					#6031","(04)
				
				
					25942491",u417725@taipower.com.tw,"1,470,000元",1470000,114/09/05,114/09/12 10:00,114/09/12 10:30,424臺中市和平區天輪里東關路2段89-1號(台電大甲溪發電廠開標室),招標中,,,
detail_13.html,F:\Drone_Tender_Reptile\pcc_results_selenium\detail_13.html,114H45,花蓮縣秀林鄉沿海崩塌地、馬太鞍溪上游堰塞湖崩塌地無人機撒播草籽復育計畫委託案,A.19.4.7,農業部林業及自然保育署花蓮分署,農業部林業及自然保育署花蓮分署,"970
				
				
				花蓮縣
				花蓮市
				林政街一號",張人義,"(03)
				
				
					8325141
				
				
					#255","(03)
				
				
					8343851",et33314@forest.gov.tw,"2,200,000元",2200000,114/11/07,114/11/20 09:00,114/11/20 10:00,970花蓮縣花蓮市林政街一號,招標中,,,
detail_130.html,F:\Drone_Tender_Reptile\pcc_results_selenium\detail_130.html,2551400032,大甲溪發電廠多旋翼遙控無人機,3.13.31.70,台灣電力股份有限公司大甲溪發電廠,台灣電力股份有限公司大甲溪發電廠,"424
				
				
				臺中市
				和平區
				天輪里東關路2段89-1號",詹婉貞,"(04)
				
				
					25941574
				
				
					#6031","(04)
				
				
					25942491",u417725@taipower.com.tw,"1,470,000元",1470000,114/09/05,114/09/12 10:00,114/09/12 10:30,424臺中市和平區天輪里東關路2段89-1號(台電大甲溪發電廠開標室),招標中,,,
detail_131.html,F:\Drone_Tender_Reptile\pcc_results_selenium\detail_131.html,LD-025016,114-115年度遙控無人機操作證印製(開口合約),3.15.6,交通部民用航空局,秘書室,"105
				
				
				臺北市
				松山區
				敦化北路340號",吳敏莉,"(02)
				
				
					23496173","(02)
				
				
					23496179",AI8245@mail.caa.gov.tw,"720,000元",720000,114/09/04,114/09/08 17:00,114/09/09 10:30,105臺北市松山區敦化北路340號,招標中,,,
detail_132.html,F:\Drone_Tender_Reptile\pcc_results_selenium\detail_132.html,LD-025016,114-115年度遙控無人機操作證印製(開口合約),3.15.6,交通部民用航空局,秘書室,"105
				
				
				臺北市
				松山區
				敦化北路340號",吳敏莉,"(02)
				
				
					23496173","(02)
				
				
					23496179",AI8245@mail.caa.gov.tw,"720,000元",720000,114/09/04,114/09/08 17:00,114/09/09 10:30,105臺北市松山區敦化北路340號,招標中,,,
detail_133.html,F:\Drone_Tender_Reptile\pcc_results_selenium\detail_133.html,TSAA11406,松山機場無人機防制基座設施工程(第2標),3.15.6.2,交通部民用航空局臺北國際航空站,工務組,"105
				
				
				臺北市
				松山區
				敦化北路340之9號",蔡先生,"(02)
				
				
					87703485","(02)
				
				
					87703544",me3703@tsa.gov.tw,"5,990,895元",5990895,114/09/04,114/09/15 17:00,114/09/16 14:00,105臺北市松山區敦化北路340之9號,招標中,,,
detail_134.html,F:\Drone_Tender_Reptile\pcc_results_selenium\detail_134.html,TSAA11406,松山機場無人機防制基座設施工程(第2標),3.15.6.2,交通部民用航空局臺北國際航空站,工務組,"105
				
				
				臺北市
				松山區
				敦化北路340之9號",蔡先生,"(02)
				
				
					87703485","(02)
				
				
					87703544",me3703@tsa.gov.tw,"5,990,895元",5990895,114/09/04,114/09/15 17:00,114/09/16 14:00,105臺北市松山區敦化北路340之9號,招標中,,,
detail_135.html,F:\Drone_Tender_Reptile\pcc_results_selenium\detail_135.html,11507SD001,花縣LL007-花蓮縣-瑞穗鄉-D024（舞鶴）無人機撒播草籽崩塌地復育委託案,A.19.4.7,農業部林業及自然保育署花蓮分署,農業部林業及自然保育署花蓮分署,"970
				
				
				花蓮縣
				花蓮市
				林政街一號",鍾少強,"(03)
				
				
					8325141
				
				
					#225","(03)
				
				
					8327446",nctu9416563@gmail.com,"2,000,000元",2000000,114/08/28,114/09/25 17:00,114/09/26 09:00,970花蓮縣花蓮市林政街一號,招標中,,,
detail_136.html,F:\Drone_Tender_Reptile\pcc_results_selenium\detail_136.html,11507SD001,花縣LL007-花蓮縣-瑞穗鄉-D024（舞鶴）無人機撒播草籽崩塌地復育委託案,A.19.4.7,農業部林業及自然保育署花蓮分署,農業部林業及自然保育署花蓮分署,"970
				
				
				花蓮縣
				花蓮市
				林政街一號",鍾少強,"(03)
				
				
					8325141
				
				
					#225","(03)
				
				
					8327446",nctu9416563@gmail.com,"2,000,000元",2000000,114/08/28,114/09/25 17:00,114/09/26 09:00,970花蓮縣花蓮市林政街一號,招標中,,,
detail_137.html,F:\Drone_Tender_Reptile\pcc_results_selenium\detail_137.html,fo-114-02,臺北國際航空站114至118年無人機監控暨防制保全案,3.15.6.2,交通部民用航空局臺北國際航空站,航務組,"105
				
				
				臺北市
				松山區
				敦化北路340之9號",江恩庭,"(02)
				
				
					87703492","(02)
				
				
					87703543",fo4978@tsa.gov.tw,"14,137,799元",14137799,114/08/21,114/09/16 17:00,114/09/17 09:30,本站1樓會議室,招標中,,,
detail_138.html,F:\Drone_Tender_Reptile\pcc_results_selenium\detail_138.html,fo-114-02,臺北國際航空站114至118年無人機監控暨防制保全案,3.15.6.2,交通部民用航空局臺北國際航空站,航務組,"105
				
				
				臺北市
				松山區
				敦化北路340之9號",江恩庭,"(02)
				
				
					87703492","(02)
				
				
					87703543",fo4978@tsa.gov.tw,"14,137,799元",14137799,114/08/21,114/09/16 17:00,114/09/17 09:30,本站1樓會議室,招標中,,,
detail_139.html,F:\Drone_Tender_Reptile\pcc_results_selenium\detail_139.html,114-130501-002-0101,114年度高階無人空拍機採購,A.13.6.11,經濟部水利署第一河川分署,經濟部水利署第一河川分署,"260
				
				
				宜蘭縣
				宜蘭市
				民權新路六號",陳乃鈺,"(03)
				
				
					9333230
				
				
					#273","(03)
				
				
					9368262",i620250@wra01.gov.tw,"399,000元",399000,114/08/19,114/08/26 15:30,114/08/26 16:00,經濟部水利署第一河川分署第一會議室,招標中,,,
detail_14.html,F:\Drone_Tender_Reptile\pcc_results_selenium\detail_14.html,114H45,花蓮縣秀林鄉沿海崩塌地、馬太鞍溪上游堰塞湖崩塌地無人機撒播草籽復育計畫委託案,A.19.4.7,農業部林業及自然保育署花蓮分署,農業部林業及自然保育署花蓮分署,"970
				
				
				花蓮縣
				花蓮市
				林政街一號",張人義,"(03)
				
				
					8325141
				
				
					#255","(03)
				
				
					8343851",et33314@forest.gov.tw,"2,200,000元",2200000,114/11/07,114/11/20 09:00,114/11/20 10:00,970花蓮縣花蓮市林政街一號,招標中,,,
detail_140.html,F:\Drone_Tender_Reptile\pcc_results_selenium\detail_140.html,114-130501-002-0101,114年度高階無人空拍機採購,A.13.6.11,經濟部水利署第一河川分署,經濟部水利署第一河川分署,"260
				
				
				宜蘭縣
				宜蘭市
				民權新路六號",陳乃鈺,"(03)
				
				
					9333230
				
				
					#273","(03)
				
				
					9368262",i620250@wra01.gov.tw,"399,000元",399000,114/08/19,114/08/26 15:30,114/08/26 16:00,經濟部水利署第一河川分署第一會議室,招標中,,,
detail_141.html,F:\Drone_Tender_Reptile\pcc_results_selenium\detail_141.html,114023,114年度現場測繪AI無人機空拍設備財物採購案,A.100.3,國家運輸安全調查委員會,國家運輸安全調查委員會,"231
				
				
				新北市
				新店區
				北新路三段200號11樓",鄭志銘,"(02)
				
				
					77276226","(02)
				
				
					89127399",chihming@ttsb.gov.tw,"2,431,000元",2431000,114/08/15,114/08/19 17:00,114/08/20 10:00,231新北市新店區北新路三段200號11樓,招標中,,,
detail_142.html,F:\Drone_Tender_Reptile\pcc_results_selenium\detail_142.html,114023,114年度現場測繪AI無人機空拍設備財物採購案,A.100.3,國家運輸安全調查委員會,國家運輸安全調查委員會,"231
				
				
				新北市
				新店區
				北新路三段200號11樓",鄭志銘,"(02)
				
				
					77276226","(02)
				
				
					89127399",chihming@ttsb.gov.tw,"2,431,000元",2431000,114/08/15,114/08/19 17:00,114/08/20 10:00,231新北市新店區北新路三段200號11樓,招標中,,,
detail_143.html,F:\Drone_Tender_Reptile\pcc_results_selenium\detail_143.html,MEA1450013,大林廠重油媒裂工場設備內部無人機巡檢拍攝工作,3.13.50,台灣中油股份有限公司,採購處南部採購中心採購二組,"811
				
				
				高雄市
				楠梓區
				左楠路2號",趙宇倫,"(07)
				
				
					5824141
				
				
					#2646","(07)
				
				
					3651002",709972@cpc.com.tw,"1,496,828元",1496828,114/08/14,114/08/26 17:00,114/08/27 09:30,南部採購中心開標室（地址：高雄市楠梓區左楠路二號）,招標中,,,
detail_144.html,F:\Drone_Tender_Reptile\pcc_results_selenium\detail_144.html,MEA1450013,大林廠重油媒裂工場設備內部無人機巡檢拍攝工作,3.13.50,台灣中油股份有限公司,採購處南部採購中心採購二組,"811
				
				
				高雄市
				楠梓區
				左楠路2號",趙宇倫,"(07)
				
				
					5824141
				
				
					#2646","(07)
				
				
					3651002",709972@cpc.com.tw,"1,496,828元",1496828,114/08/14,114/08/26 17:00,114/08/27 09:30,南部採購中心開標室（地址：高雄市楠梓區左楠路二號）,招標中,,,
detail_145.html,F:\Drone_Tender_Reptile\pcc_results_selenium\detail_145.html,C1140805-1,屏東縣遙控無人機飛行場地坪延伸工程委託規劃設計暨監造技術服務案,3.76.53,屏東縣政府,交通旅遊處設施工程科,"900
				
				
				屏東縣
				屏東市
				屏東市自由路527號",交通旅遊處設施工程科 莊家祥先生,"(08)
				
				
					7320415
				
				
					#5137","(08)
				
				
					7320668",a002478@oa.pthg.gov.tw,"1,470,000元",1470000,114/08/06,114/08/11 17:00,114/08/12 09:30,900屏東縣屏東市自由路527號（本府121開標室）,招標中,,,
detail_146.html,F:\Drone_Tender_Reptile\pcc_results_selenium\detail_146.html,C1140805-1,屏東縣遙控無人機飛行場地坪延伸工程委託規劃設計暨監造技術服務案,3.76.53,屏東縣政府,交通旅遊處設施工程科,"900
				
				
				屏東縣
				屏東市
				屏東市自由路527號",交通旅遊處設施工程科 莊家祥先生,"(08)
				
				
					7320415
				
				
					#5137","(08)
				
				
					7320668",a002478@oa.pthg.gov.tw,"1,470,000元",1470000,114/08/06,114/08/11 17:00,114/08/12 09:30,900屏東縣屏東市自由路527號（本府121開標室）,招標中,,,
